ipo_firm,assignee_firm,ticker,is_common,patent_cnt
Agere Systems Inc,Agere Systems Optoelectronics,AGR,0,1
Agere Systems Inc,Agere Systems Optoelectronics Guardian Corp.,AGR,0,61
Agere Systems Inc,Agere Systems Singapore PTE LTD,AGR,0,1
Agile Software Corp,Agile Software Corporation,AGIL,1,15
Agile Therapeutics Inc,"Agile Therapeutics, Inc.",AGRX,0,17
Agilent Technologies Inc,Agilent Technologies Australia (M) Pty Ltd,A,0,2
Agilent Technologies Inc,Agilent Technologies LDA UK Limited,A,0,1
Agilent Technologies Inc,Agilent Technologies Singapore PTE LTD,A,0,1
Agilent Technologies Inc,Agilent Technologies Texas Instruments Incorporated,A,0,1
Agilent Technologies Inc,"Agilent Technologies, Inc.",A,0,4416
Agios Pharmaceuticals Inc,"Agios Pharmaceuticals, Inc.",AGIO,0,61
Agouron Pharmaceuticals,"Agouron Pharmaceuticals, Inc.",AGPH,0,170
Agria Corp,Agria-Werke GmbH,GRO,0,2
Agridyne Technologies,"AgriDyne Technologies, Inc.",AGRI,0,3
Agristar,"Agristar, Inc.",AGRS,0,4
AICorp,"Aicorp., Inc.",AICP,0,1
Aid,Aid 3 Group Ltd.,AIDC,1,1
Aid,Aid Corporation,AIDC,1,1
Aid,"Aid Pak, Inc.",AIDC,1,1
Aid,"Aid-Pack, Inc.",AIDC,1,2
Aid,AID-TEC,AIDC,1,3
Aimmune Therapeutics Inc,"Aimmune Therapeutics, Inc.",AIMT,0,8
Air & Water Technologies,"Air & Waterworks, Inc.",AWT,1,1
Airgain Inc,Airgain Incorporated,AIRG,0,216
Airgas,Airgas Dry Ice,AGA,0,1
Airgas,"Airgas USA, LLC",AGA,0,3
Airgas,"Airgas, Inc.",AGA,0,10
AirNet Communications Corp,Airnet Communications Corporation,ANCC,0,54
AirNet Communications Corp,Airnet Communications Corporations,ANCC,0,1
Aironet Wireless Communication,"Aironet Wireless Communications, Inc.",AIRO,0,13
Airspan Networks Inc,AIRSPAN NETWORKS INC.,AIRN,0,40
Airspan Networks Inc,"Airspan Networks, Inc. PTSGE Corp.",AIRN,0,2
Airvana Inc,"Airvana Network Solutions, Inc.",AIRV,0,20
Airvana Inc,"Airvana Networks Solutions, Inc.",AIRV,0,1
Airvana Inc,"Airvana, Inc.",AIRV,0,73
Akamai Technologies Inc,"Akamai Technologies, Inc.",AKAM,0,370
Akebia Therapeutics Inc,"Akebia Therapeutics, Inc.",AKBA,0,18
Aksys,Aksys Networks Inc.,AKSY,0,1
Aksys,"AKSYS, Ltd.",AKSY,0,42
Aladdin Knowledge Systems,Aladdin Knowledge Systems (Deutschland) GmbH,ALDNF,1,1
Aladdin Knowledge Systems,Aladdin Knowledge Systems Ltd.,ALDNF,1,21
Alamo Group,Alamo Group Inc.,ALMO,1,23
Alantec,Alantec Corporation,ALTC,0,12
Albany International,Albany International Corp.,AAIC,1,476
Albany International,"Albany International Industries, Inc.",AAIC,1,1
Albany International,Albany International Research Co.,AAIC,1,5
